,ind,occ,union,public_sector,multiple_jobs,salary,ptm,gender,self
2329,"business, building and other support services",middle management,0,1,0,102740.22108843538,0,1,0
2330,educational services,teachers and professors,1,1,0,152453.231292517,0,0,0
2331,manufacturing,middle management,0,0,0,159081.63265306124,0,0,0
2332,accommodation and food services,"chefs and cooks, food and beverage service",0,0,1,29164.96598639456,0,1,0
2333,manufacturing,middle management,0,0,0,152453.231292517,0,0,0
2334,trade,clerical and supervisor occupations,0,0,1,34467.68707482993,0,1,0
2335,"information, culture and recreation",clerical and supervisor occupations,0,0,1,38444.727891156464,1,1,1
2336,"information, culture and recreation",,0,0,0,9279.761904761905,0,0,0
2337,manufacturing,natural and applied sciences,0,0,0,89483.41836734694,0,0,0
2338,trade,,1,0,0,10274.022108843536,1,0,0
2339,transportation and warehousing,other trades,0,0,1,49050.17006802721,0,0,0
2340,health care and social assistance,"occupations in social science, government service and religion",0,0,0,6628.401360544218,1,0,0
2341,educational services,teachers and professors,0,1,1,33142.00680272109,1,1,0
2342,public administration,natural and applied sciences,1,1,0,92797.61904761904,0,0,0
2343,educational services,teachers and professors,1,1,0,132568.02721088435,0,0,0
2344,"forestry, fishing, mining, oil and gas",natural and applied sciences,1,0,1,72912.4149659864,0,0,0
2345,trade,"retail salespersons, sales clerks, cashiers",0,0,0,46398.80952380953,0,1,0
2346,accommodation and food services,,0,0,0,19885.20408163265,0,1,0
2347,,occupations unique to primary industry,0,0,0,47724.48979591837,0,0,0
2348,trade,middle management,0,0,0,96111.81972789115,0,0,0
2349,trade,middle management,0,0,0,76226.6156462585,0,0,0
2350,transportation and warehousing,transport and equipment operators,1,0,0,82855.01700680272,0,0,0
2351,"finance, insurance, real estate and leasing",natural and applied sciences,0,0,0,109368.6224489796,0,1,0
2352,manufacturing,machine operators and assemblers in manufacturing,1,0,0,76226.6156462585,0,0,0
2353,trade,"retail salespersons, sales clerks, cashiers",0,0,0,8948.341836734695,1,1,0
2354,"information, culture and recreation",natural and applied sciences,0,0,0,112682.8231292517,0,0,0
2355,accommodation and food services,middle management,0,0,0,79540.81632653062,0,1,0
2356,"information, culture and recreation",,0,0,0,17896.68367346939,0,0,0
2357,public administration,"occupations in social science, government service and religion",1,1,0,72912.4149659864,0,1,0
2358,manufacturing,clerical and supervisor occupations,1,0,0,62306.97278911565,0,0,0
2359,educational services,teachers and professors,1,1,1,96111.81972789115,0,0,1
2360,public administration,middle management,1,1,0,129253.82653061223,0,0,0
2361,manufacturing,natural and applied sciences,0,0,0,79540.81632653062,0,0,0
2362,utilities,middle management,0,0,0,145824.8299319728,0,0,0
2363,trade,"retail salespersons, sales clerks, cashiers",0,0,0,17896.68367346939,1,1,0
2364,manufacturing,clerical and supervisor occupations,0,0,0,43747.44897959184,0,0,0
2365,manufacturing,machine operators and assemblers in manufacturing,0,0,0,18559.52380952381,0,0,0
2366,accommodation and food services,"chefs and cooks, food and beverage service",0,0,0,27839.28571428572,0,0,0
2367,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,145824.8299319728,0,0,0
2368,health care and social assistance,"technical, assisting and related in health",1,1,0,69598.21428571429,0,1,0
2369,manufacturing,"labourer in processing, manufacturing and utilities",0,0,1,50375.85034013606,0,0,0
2370,educational services,teachers and professors,1,1,0,115997.02380952382,0,1,0
2371,"finance, insurance, real estate and leasing","financial, secretarial and administrative",1,0,0,115997.02380952382,0,0,0
2372,"information, culture and recreation",,0,0,0,178966.83673469388,0,1,0
2373,"information, culture and recreation","wholesale, technical, insurance, real estate sales specialists",1,0,1,76226.6156462585,0,1,0
2374,public administration,clerical and supervisor occupations,1,1,0,59655.61224489796,0,1,0
2375,accommodation and food services,,0,0,0,29164.96598639456,0,1,0
2376,construction,other trades,0,0,0,53027.21088435374,0,0,0
2377,trade,"retail salespersons, sales clerks, cashiers",0,0,0,38444.727891156464,0,0,0
2378,public administration,"occupations in social science, government service and religion",0,1,0,15908.163265306122,1,1,0
2379,health care and social assistance,professional in health,0,0,0,86169.21768707484,0,1,0
2380,health care and social assistance,professional in health,1,1,0,82855.01700680272,0,0,0
2381,trade,clerical and supervisor occupations,0,0,0,21210.884353741498,0,0,0
2382,health care and social assistance,"occupations in social science, government service and religion",0,0,1,17233.843537414967,1,1,0
2383,agriculture,occupations unique to primary industry,0,0,0,38444.727891156464,0,1,0
2384,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,45073.12925170068,0,1,0
2385,manufacturing,transport and equipment operators,0,0,0,106054.42176870749,0,0,0
2386,educational services,teachers and professors,0,1,0,79540.81632653062,0,0,0
2387,construction,"trades helpers, construction, and transportation labourers",0,0,0,54352.89115646259,0,0,0
2388,health care and social assistance,"occupations in social science, government service and religion",1,1,0,57004.251700680274,1,1,0
2389,"business, building and other support services",,0,0,0,23199.404761904763,1,0,0
2390,educational services,teachers and professors,1,1,0,119311.22448979592,0,0,0
2391,health care and social assistance,"technical, assisting and related in health",1,1,1,112682.8231292517,0,0,0
2392,educational services,,1,1,0,51701.5306122449,0,0,0
2393,educational services,teachers and professors,1,1,1,106054.42176870749,0,0,1
2394,utilities,clerical and supervisor occupations,1,1,0,58329.93197278912,0,0,0
2395,educational services,,1,1,0,27839.28571428572,0,0,0
2396,"professional, scientific and technical services",natural and applied sciences,0,0,0,115997.02380952382,0,0,0
2397,public administration,clerical and supervisor occupations,1,1,0,76226.6156462585,0,1,0
2398,public administration,occupation in protective services,1,1,1,152453.231292517,0,0,0
2399,educational services,middle management,1,1,0,152453.231292517,0,0,0
2400,health care and social assistance,middle management,0,1,0,238622.44897959183,0,0,0
2401,educational services,teachers and professors,1,1,0,72912.4149659864,0,1,0
2402,transportation and warehousing,natural and applied sciences,0,1,0,139196.42857142858,0,0,0
2403,educational services,natural and applied sciences,1,1,0,159081.63265306124,0,0,0
2404,trade,other trades,0,0,0,26513.60544217687,0,0,0
2405,manufacturing,other trades,0,0,0,72912.4149659864,0,0,0
2406,manufacturing,natural and applied sciences,1,0,0,109368.6224489796,0,0,0
2407,educational services,teachers and professors,1,1,0,115997.02380952382,0,1,0
2408,public administration,clerical and supervisor occupations,0,1,0,43747.44897959184,0,1,0
2409,accommodation and food services,middle management,0,0,0,23199.404761904763,0,1,0
2410,educational services,childcare and home support workers,1,1,1,31816.326530612245,0,1,1
2411,construction,other trades,1,0,0,145824.8299319728,0,0,0
2412,public administration,transport and equipment operators,1,1,0,89483.41836734694,0,0,0
2413,educational services,"occupations in art, culture, recreation and sport",1,1,1,79540.81632653062,0,1,1
2414,health care and social assistance,"technical, assisting and related in health",1,0,1,132568.02721088435,1,0,0
2415,utilities,natural and applied sciences,0,1,1,212108.84353741497,0,0,0
2416,trade,clerical and supervisor occupations,0,0,0,51701.5306122449,0,1,0
2417,trade,"retail salespersons, sales clerks, cashiers",0,0,0,25187.92517006803,1,1,0
2418,utilities,other trades,1,1,0,119311.22448979592,0,0,0
2419,public administration,"occupations in social science, government service and religion",1,1,1,115997.02380952382,0,1,1
2420,"professional, scientific and technical services",natural and applied sciences,0,0,0,132568.02721088435,0,0,0
2421,health care and social assistance,"occupations in social science, government service and religion",1,1,0,112682.8231292517,0,1,0
2422,health care and social assistance,"occupations in social science, government service and religion",0,0,1,43747.44897959184,0,1,0
2423,"information, culture and recreation","chefs and cooks, food and beverage service",0,0,0,35793.36734693878,0,1,0
2424,other services,,0,0,0,33142.00680272109,0,1,0
2425,health care and social assistance,"technical, assisting and related in health",1,0,0,47724.48979591837,0,1,0
2426,accommodation and food services,"chefs and cooks, food and beverage service",0,0,0,31816.326530612245,1,0,0
2427,educational services,teachers and professors,1,1,0,102740.22108843538,0,0,0
2428,educational services,teachers and professors,1,1,0,106054.42176870749,0,1,0
2429,trade,"retail salespersons, sales clerks, cashiers",0,0,0,33142.00680272109,0,0,0
2430,public administration,professional in business and finance,1,1,0,115997.02380952382,0,1,0
2431,educational services,"occupations in social science, government service and religion",0,1,1,72912.4149659864,0,0,1
2432,manufacturing,other trades,0,0,0,50375.85034013606,0,0,0
2433,construction,other trades,1,0,0,82855.01700680272,0,0,0
2434,health care and social assistance,professional in health,1,1,1,60981.292517006805,0,1,0
2435,manufacturing,construction trades,0,0,0,109368.6224489796,0,0,0
2436,"business, building and other support services",clerical and supervisor occupations,0,0,0,33142.00680272109,0,1,0
2437,accommodation and food services,"retail salespersons, sales clerks, cashiers",0,0,0,14582.48299319728,1,0,0
2438,"professional, scientific and technical services",natural and applied sciences,0,0,0,82855.01700680272,0,0,0
2439,manufacturing,other trades,0,0,0,57004.251700680274,0,0,0
2440,accommodation and food services,middle management,0,0,0,119311.22448979592,0,1,0
2441,other services,other trades,0,0,0,41096.08843537415,0,0,0
2442,public administration,clerical and supervisor occupations,1,1,0,86169.21768707484,0,1,0
2443,manufacturing,clerical and supervisor occupations,0,0,0,59655.61224489796,0,1,0
2444,utilities,clerical and supervisor occupations,0,1,0,41096.08843537415,1,1,0
2445,"information, culture and recreation","occupations in art, culture, recreation and sport",0,0,1,12593.962585034014,0,0,1
2446,manufacturing,machine operators and assemblers in manufacturing,1,0,0,41096.08843537415,0,0,0
2447,educational services,childcare and home support workers,1,1,0,18559.52380952381,0,1,0
2448,educational services,professional in business and finance,0,1,0,109368.6224489796,0,1,0
2449,construction,other trades,0,0,0,102740.22108843538,0,0,0
2450,health care and social assistance,"occupations in social science, government service and religion",1,1,0,59655.61224489796,0,1,0
2451,educational services,"occupations in social science, government service and religion",1,1,0,51701.5306122449,0,1,0
2452,accommodation and food services,,1,0,0,29164.96598639456,0,0,0
2453,"professional, scientific and technical services",natural and applied sciences,0,0,0,258507.6530612245,0,0,0
2454,public administration,senior management,0,1,0,192223.6394557823,0,0,0
2455,trade,"retail salespersons, sales clerks, cashiers",1,0,0,21873.72448979592,0,0,0
2456,educational services,teachers and professors,1,1,0,119311.22448979592,0,1,0
2457,health care and social assistance,childcare and home support workers,1,0,0,25187.92517006803,1,1,0
2458,health care and social assistance,"technical, assisting and related in health",1,1,0,58329.93197278912,0,1,0
2459,,,0,1,0,42421.768707483,0,1,0
2460,health care and social assistance,clerical and supervisor occupations,0,1,0,38444.727891156464,0,1,0
2461,health care and social assistance,"financial, secretarial and administrative",0,0,0,31816.326530612245,1,1,0
2462,educational services,teachers and professors,1,1,0,96111.81972789115,0,1,0
2463,public administration,occupation in protective services,1,1,0,102740.22108843538,0,0,0
2464,other services,professional in business and finance,1,0,0,145824.8299319728,0,0,0
2465,manufacturing,"labourer in processing, manufacturing and utilities",0,0,0,64958.333333333336,0,0,0
2466,transportation and warehousing,transport and equipment operators,0,0,1,7954.081632653061,1,0,0
2467,other services,other trades,0,0,0,51701.5306122449,0,0,0
2468,manufacturing,machine operators and assemblers in manufacturing,1,0,0,96111.81972789115,0,0,0
2469,transportation and warehousing,transport and equipment operators,0,0,0,14582.48299319728,1,1,0
2470,construction,transport and equipment operators,1,0,0,112682.8231292517,0,0,0
2471,construction,"financial, secretarial and administrative",0,0,0,17233.843537414967,1,1,0
2472,"professional, scientific and technical services","occupations in social science, government service and religion",0,0,0,72912.4149659864,0,1,0
2473,accommodation and food services,,1,0,0,89483.41836734694,0,0,0
2474,"information, culture and recreation",other trades,0,0,0,29164.96598639456,0,1,0
2475,trade,"retail salespersons, sales clerks, cashiers",0,0,1,26513.60544217687,1,1,0
2476,public administration,"occupations in social science, government service and religion",1,1,0,112682.8231292517,0,0,0
2477,accommodation and food services,"retail salespersons, sales clerks, cashiers",0,0,0,25850.76530612245,0,1,0
2478,accommodation and food services,,0,0,0,29164.96598639456,0,1,0
2479,manufacturing,clerical and supervisor occupations,1,0,0,76226.6156462585,0,1,0
2480,health care and social assistance,"financial, secretarial and administrative",0,1,0,109368.6224489796,0,1,0
2481,"information, culture and recreation",clerical and supervisor occupations,0,0,0,69598.21428571429,0,1,0
2482,"finance, insurance, real estate and leasing",professional in business and finance,0,0,0,129253.82653061223,0,1,0
2483,construction,other trades,1,0,0,125939.62585034016,0,0,0
2484,trade,,0,0,0,49050.17006802721,0,1,0
2485,trade,professional in business and finance,0,0,0,79540.81632653062,0,0,0
2486,manufacturing,machine operators and assemblers in manufacturing,1,0,0,31816.326530612245,0,1,0
2487,transportation and warehousing,transport and equipment operators,1,1,0,89483.41836734694,0,0,0
2488,transportation and warehousing,clerical and supervisor occupations,0,0,1,63632.65306122449,0,1,0
2489,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,139196.42857142858,0,0,0
2490,educational services,teachers and professors,1,1,0,112682.8231292517,0,0,0
2491,trade,"financial, secretarial and administrative",0,0,0,42421.768707483,0,1,0
2492,accommodation and food services,"retail salespersons, sales clerks, cashiers",0,0,1,96111.81972789115,0,1,0
2493,educational services,teachers and professors,1,1,1,49050.17006802721,1,1,0
2494,transportation and warehousing,"chefs and cooks, food and beverage service",0,0,0,115997.02380952382,0,0,0
2495,"finance, insurance, real estate and leasing",middle management,0,0,0,119311.22448979592,0,1,0
2496,public administration,other trades,1,1,0,139196.42857142858,0,0,0
2497,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,72912.4149659864,0,1,0
2498,public administration,natural and applied sciences,1,1,0,86169.21768707484,0,0,0
2499,"forestry, fishing, mining, oil and gas",other trades,1,0,0,86169.21768707484,0,0,0
2500,transportation and warehousing,transport and equipment operators,1,1,0,76226.6156462585,0,0,0
2501,health care and social assistance,"occupations in social science, government service and religion",1,1,0,43747.44897959184,0,1,0
2502,manufacturing,machine operators and assemblers in manufacturing,1,0,0,79540.81632653062,0,1,0
2503,trade,other trades,0,0,0,76226.6156462585,0,0,0
2504,manufacturing,"financial, secretarial and administrative",0,0,0,30490.6462585034,1,1,0
2505,public administration,"occupations in social science, government service and religion",1,1,0,102740.22108843538,0,0,0
2506,construction,construction trades,0,0,0,53027.21088435374,0,0,0
2507,public administration,natural and applied sciences,1,1,0,99426.02040816328,0,0,0
2508,trade,,0,0,0,25187.92517006803,0,0,1
2509,transportation and warehousing,clerical and supervisor occupations,1,1,0,49050.17006802721,0,0,0
2510,"finance, insurance, real estate and leasing",middle management,0,0,0,66284.01360544217,0,1,0
2511,manufacturing,other trades,0,0,0,46398.80952380953,0,0,0
2512,health care and social assistance,"technical, assisting and related in health",0,0,0,58329.93197278912,0,1,0
2513,manufacturing,other trades,0,0,0,79540.81632653062,0,0,0
2514,other services,other trades,0,0,0,69598.21428571429,0,0,0
2515,manufacturing,machine operators and assemblers in manufacturing,0,0,0,99426.02040816328,0,0,0
2516,educational services,teachers and professors,1,1,0,82855.01700680272,0,1,0
2517,trade,middle management,0,0,0,76226.6156462585,0,0,0
2518,educational services,professional in business and finance,0,1,0,54352.89115646259,0,1,0
2519,public administration,clerical and supervisor occupations,1,1,0,66284.01360544217,0,1,0
2520,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,76226.6156462585,0,1,0
2521,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,43747.44897959184,0,1,0
2522,utilities,"financial, secretarial and administrative",0,1,0,79540.81632653062,0,1,0
2523,manufacturing,,1,0,0,72912.4149659864,0,0,0
2524,"finance, insurance, real estate and leasing",,0,0,0,623069.7278911564,0,0,0
2525,health care and social assistance,"technical, assisting and related in health",1,1,0,59655.61224489796,0,1,0
2526,health care and social assistance,professional in health,1,1,0,112682.8231292517,0,1,0
2527,health care and social assistance,middle management,0,0,0,69598.21428571429,0,1,0
2528,manufacturing,machine operators and assemblers in manufacturing,1,0,1,49050.17006802721,0,0,0
2529,public administration,senior management,1,1,0,82855.01700680272,1,1,0
2530,health care and social assistance,"occupations in social science, government service and religion",0,0,0,57004.251700680274,0,0,0
2531,other services,other trades,0,0,0,79540.81632653062,0,0,0
2532,trade,"wholesale, technical, insurance, real estate sales specialists",1,0,0,41096.08843537415,0,0,0
2533,"finance, insurance, real estate and leasing",middle management,0,0,0,109368.6224489796,0,1,0
2534,manufacturing,middle management,0,0,0,112682.8231292517,0,0,0
2535,"professional, scientific and technical services",professional in business and finance,0,0,0,106054.42176870749,0,0,0
2536,transportation and warehousing,transport and equipment operators,1,1,1,63632.65306122449,0,0,0
2537,manufacturing,clerical and supervisor occupations,1,0,0,109368.6224489796,0,0,0
2538,"professional, scientific and technical services","occupations in art, culture, recreation and sport",0,0,0,24525.08503401361,0,1,1
2539,"professional, scientific and technical services",middle management,0,0,0,185595.2380952381,0,0,0
2540,construction,"trades helpers, construction, and transportation labourers",0,0,0,45073.12925170068,0,0,0
2541,accommodation and food services,"chefs and cooks, food and beverage service",0,0,0,15245.3231292517,0,1,0
2542,educational services,"occupations in art, culture, recreation and sport",1,1,0,82855.01700680272,0,0,0
2543,health care and social assistance,clerical and supervisor occupations,0,0,0,47724.48979591837,0,1,0
2544,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,24525.08503401361,0,1,0
2545,health care and social assistance,professional in health,1,1,0,55678.57142857144,0,1,0
2546,"professional, scientific and technical services","financial, secretarial and administrative",0,0,1,25850.76530612245,0,1,0
2547,manufacturing,middle management,0,0,0,115997.02380952382,0,0,0
2548,manufacturing,machine operators and assemblers in manufacturing,1,0,0,53027.21088435374,0,0,0
2549,other services,clerical and supervisor occupations,0,0,0,49050.17006802721,0,1,0
2550,public administration,professional in business and finance,1,1,0,89483.41836734694,0,1,0
2551,manufacturing,machine operators and assemblers in manufacturing,0,0,0,92797.61904761904,0,0,0
2552,educational services,teachers and professors,1,1,0,86169.21768707484,0,1,0
2553,health care and social assistance,professional in health,1,1,0,115997.02380952382,0,1,0
2554,manufacturing,natural and applied sciences,1,0,0,125939.62585034016,0,1,0
2555,"information, culture and recreation",,0,1,0,82855.01700680272,0,1,0
2556,educational services,teachers and professors,1,1,0,96111.81972789115,0,0,0
2557,"information, culture and recreation","financial, secretarial and administrative",0,0,0,82855.01700680272,0,1,0
2558,transportation and warehousing,,1,0,0,99426.02040816328,0,1,0
2559,manufacturing,natural and applied sciences,0,0,0,139196.42857142858,0,0,0
2560,manufacturing,"trades helpers, construction, and transportation labourers",0,0,0,26513.60544217687,1,0,0
2561,"information, culture and recreation",professional in business and finance,0,0,0,82855.01700680272,0,1,0
2562,"finance, insurance, real estate and leasing","occupations in social science, government service and religion",0,0,0,112682.8231292517,0,1,0
2563,health care and social assistance,,0,0,0,27839.28571428572,0,0,0
2564,"business, building and other support services",clerical and supervisor occupations,0,0,0,43747.44897959184,0,1,0
2565,manufacturing,senior management,0,0,0,112682.8231292517,0,0,0
2566,trade,"retail salespersons, sales clerks, cashiers",0,0,0,9942.602040816328,1,1,0
2567,other services,,0,0,0,23862.244897959183,0,1,0
2568,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,1,39770.40816326531,0,0,1
2569,manufacturing,machine operators and assemblers in manufacturing,0,0,0,41096.08843537415,0,1,0
2570,health care and social assistance,professional in health,0,0,0,50375.85034013606,0,1,0
2571,manufacturing,natural and applied sciences,0,0,0,192223.6394557823,0,0,0
2572,public administration,"occupations in art, culture, recreation and sport",1,1,0,106054.42176870749,0,0,0
2573,trade,"retail salespersons, sales clerks, cashiers",0,0,0,15245.3231292517,1,1,0
2574,manufacturing,other trades,0,0,0,82855.01700680272,0,0,0
2575,manufacturing,machine operators and assemblers in manufacturing,0,0,0,145824.8299319728,0,0,0
2576,health care and social assistance,clerical and supervisor occupations,0,0,0,50375.85034013606,0,1,0
2577,construction,other trades,1,0,0,106054.42176870749,0,0,0
2578,"professional, scientific and technical services","wholesale, technical, insurance, real estate sales specialists",0,0,0,43747.44897959184,0,0,0
2579,accommodation and food services,"chefs and cooks, food and beverage service",0,0,0,24525.08503401361,0,0,0
2580,educational services,teachers and professors,1,1,0,109368.6224489796,0,1,0
2581,other services,clerical and supervisor occupations,0,0,1,57004.251700680274,1,1,1
2582,construction,natural and applied sciences,0,0,0,102740.22108843538,0,0,0
2583,"finance, insurance, real estate and leasing",clerical and supervisor occupations,1,0,0,42421.768707483,0,1,0
2584,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,38444.727891156464,0,1,0
2585,manufacturing,clerical and supervisor occupations,0,0,1,43747.44897959184,0,1,1
2586,accommodation and food services,,0,0,0,11931.122448979591,0,1,0
2587,public administration,natural and applied sciences,1,1,0,72912.4149659864,0,1,0
2588,construction,middle management,0,0,0,63632.65306122449,0,0,1
2589,trade,middle management,0,0,0,50375.85034013606,0,0,0
2590,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,51701.5306122449,0,1,0
2591,manufacturing,machine operators and assemblers in manufacturing,1,0,1,115997.02380952382,0,0,1
2592,trade,middle management,0,0,0,198852.0408163265,0,0,0
2593,trade,other trades,0,0,0,72912.4149659864,0,0,0
2594,manufacturing,transport and equipment operators,1,0,0,89483.41836734694,0,0,0
2595,"finance, insurance, real estate and leasing","occupations in art, culture, recreation and sport",0,0,0,102740.22108843538,0,0,0
2596,health care and social assistance,"occupations in social science, government service and religion",1,0,0,55678.57142857144,0,1,0
2597,utilities,other trades,1,1,0,192223.6394557823,0,0,0
2598,"professional, scientific and technical services",middle management,0,0,0,165710.03401360544,0,0,0
2599,,"chefs and cooks, food and beverage service",0,1,0,29164.96598639456,0,1,0
2600,educational services,middle management,0,1,0,96111.81972789115,0,0,0
2601,manufacturing,machine operators and assemblers in manufacturing,1,0,0,58329.93197278912,0,1,0
2602,other services,"occupations in social science, government service and religion",0,0,0,89483.41836734694,0,0,0
2603,construction,construction trades,0,0,0,69598.21428571429,0,0,0
2604,"finance, insurance, real estate and leasing",,0,0,1,43747.44897959184,0,0,0
2605,health care and social assistance,"technical, assisting and related in health",1,0,0,55678.57142857144,1,1,0
2606,manufacturing,"trades helpers, construction, and transportation labourers",0,0,0,46398.80952380953,0,1,0
2607,educational services,teachers and professors,1,1,0,122625.42517006805,0,0,0
2608,accommodation and food services,"chefs and cooks, food and beverage service",0,0,0,11268.28231292517,1,0,0
2609,health care and social assistance,"technical, assisting and related in health",1,1,0,63632.65306122449,0,1,0
2610,health care and social assistance,professional in business and finance,0,1,0,76226.6156462585,0,1,0
2611,other services,other trades,1,0,0,29164.96598639456,0,0,0
2612,construction,middle management,0,0,0,89483.41836734694,0,0,0
2613,trade,"retail salespersons, sales clerks, cashiers",0,0,0,23199.404761904763,0,0,0
2614,public administration,clerical and supervisor occupations,1,1,0,66284.01360544217,0,1,0
2615,manufacturing,natural and applied sciences,0,0,0,72912.4149659864,0,1,0
2616,manufacturing,other trades,0,0,0,106054.42176870749,0,0,0
2617,educational services,teachers and professors,1,1,0,92797.61904761904,0,1,0
2618,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,125939.62585034016,0,0,0
2619,"information, culture and recreation","occupations in art, culture, recreation and sport",0,0,0,66284.01360544217,0,1,0
2620,"information, culture and recreation",other trades,1,0,0,58329.93197278912,0,1,0
2621,manufacturing,machine operators and assemblers in manufacturing,0,0,0,53027.21088435374,0,0,0
2622,public administration,natural and applied sciences,0,1,0,69598.21428571429,0,1,0
2623,health care and social assistance,"technical, assisting and related in health",0,1,1,99426.02040816328,0,1,0
2624,manufacturing,"financial, secretarial and administrative",0,0,0,92797.61904761904,0,0,0
2625,health care and social assistance,"technical, assisting and related in health",1,0,0,37119.04761904762,0,1,0
2626,utilities,teachers and professors,1,1,0,205480.4421768708,0,0,0
2627,public administration,"occupations in social science, government service and religion",1,1,0,115997.02380952382,0,0,0
2628,"business, building and other support services","financial, secretarial and administrative",0,0,0,43747.44897959184,0,1,0
2629,trade,"retail salespersons, sales clerks, cashiers",0,0,0,27839.28571428572,0,1,0
2630,transportation and warehousing,contractors and supervisors in trades and transportation,1,1,0,125939.62585034016,0,0,0
2631,health care and social assistance,"technical, assisting and related in health",0,0,0,54352.89115646259,0,1,0
2632,"finance, insurance, real estate and leasing",middle management,0,0,0,115997.02380952382,0,1,0
2633,transportation and warehousing,contractors and supervisors in trades and transportation,0,0,1,59655.61224489796,0,0,1
2634,educational services,childcare and home support workers,1,1,0,39770.40816326531,0,1,0
2635,health care and social assistance,professional in business and finance,0,1,0,82855.01700680272,0,1,0
2636,"finance, insurance, real estate and leasing",,0,0,0,38444.727891156464,0,0,0
2637,health care and social assistance,professional in health,1,0,0,64958.333333333336,0,1,0
2638,trade,transport and equipment operators,0,0,0,37119.04761904762,0,0,0
2639,trade,"retail salespersons, sales clerks, cashiers",0,0,0,9942.602040816328,1,1,0
2640,"finance, insurance, real estate and leasing","wholesale, technical, insurance, real estate sales specialists",0,0,0,82855.01700680272,0,1,0
2641,transportation and warehousing,occupations unique to primary industry,1,0,0,89483.41836734694,0,0,0
2642,health care and social assistance,"occupations in social science, government service and religion",0,0,0,19222.363945578232,0,1,0
2643,trade,clerical and supervisor occupations,0,0,0,49050.17006802721,0,1,0
2644,health care and social assistance,"technical, assisting and related in health",0,0,0,33142.00680272109,0,1,0
2645,trade,clerical and supervisor occupations,1,0,0,38444.727891156464,1,1,0
2646,public administration,professional in business and finance,0,1,0,139196.42857142858,0,0,0
2647,"information, culture and recreation","occupations in art, culture, recreation and sport",0,0,0,125939.62585034016,0,0,0
2648,manufacturing,"labourer in processing, manufacturing and utilities",1,0,0,34467.68707482993,0,0,0
2649,educational services,childcare and home support workers,1,1,0,50375.85034013606,0,1,0
2650,public administration,occupation in protective services,1,1,0,86169.21768707484,0,0,0
2651,manufacturing,machine operators and assemblers in manufacturing,0,0,0,37119.04761904762,0,0,0
2652,manufacturing,natural and applied sciences,0,0,0,132568.02721088435,0,0,0
2653,transportation and warehousing,transport and equipment operators,1,0,0,106054.42176870749,0,0,0
2654,manufacturing,other trades,1,0,0,145824.8299319728,0,0,0
2655,educational services,"financial, secretarial and administrative",1,1,0,69598.21428571429,0,1,0
2656,educational services,clerical and supervisor occupations,1,1,0,51701.5306122449,0,1,0
2657,manufacturing,clerical and supervisor occupations,0,0,0,76226.6156462585,0,0,0
2658,educational services,teachers and professors,1,1,0,115997.02380952382,0,0,0
2659,educational services,teachers and professors,1,1,0,102740.22108843538,0,1,0
2660,public administration,middle management,1,1,1,76226.6156462585,0,1,1
2661,public administration,clerical and supervisor occupations,0,1,0,62306.97278911565,0,1,0
2662,"finance, insurance, real estate and leasing",professional in business and finance,0,0,0,89483.41836734694,0,1,0
2663,health care and social assistance,"occupations in social science, government service and religion",1,0,1,34467.68707482993,0,1,1
2664,health care and social assistance,professional in health,1,1,0,76226.6156462585,1,1,0
2665,manufacturing,other trades,1,0,0,109368.6224489796,0,0,0
2666,health care and social assistance,"technical, assisting and related in health",0,0,0,41096.08843537415,0,1,0
2667,manufacturing,clerical and supervisor occupations,0,0,1,82855.01700680272,0,0,1
2668,construction,construction trades,0,0,0,53027.21088435374,0,0,0
2669,manufacturing,natural and applied sciences,0,0,0,50375.85034013606,1,0,0
2670,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,45073.12925170068,0,1,0
2671,educational services,teachers and professors,1,1,0,119311.22448979592,0,1,0
2672,construction,construction trades,0,0,0,53027.21088435374,0,0,0
2673,health care and social assistance,clerical and supervisor occupations,0,1,0,99426.02040816328,0,1,0
2674,health care and social assistance,clerical and supervisor occupations,1,1,0,63632.65306122449,0,1,0
2675,public administration,"financial, secretarial and administrative",1,1,0,96111.81972789115,0,0,0
2676,"business, building and other support services",,0,0,1,54352.89115646259,0,0,1
2677,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,54352.89115646259,0,1,0
2678,health care and social assistance,"financial, secretarial and administrative",0,0,0,92797.61904761904,0,1,0
2679,manufacturing,clerical and supervisor occupations,0,0,0,86169.21768707484,0,0,0
2680,trade,"retail salespersons, sales clerks, cashiers",0,0,1,19222.363945578232,0,1,0
2681,educational services,teachers and professors,1,1,1,86169.21768707484,0,1,0
2682,manufacturing,natural and applied sciences,0,0,0,125939.62585034016,0,0,0
